순위,년도,구단,득점,도움,슈팅,유효 슈팅,블락된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,프리킥 슈팅,프리킥 유효슈팅,프리킥 크로스 (시도),프리킥 크로스 (성공),프리킥 크로스 (성공%),오프사이드,코너킥,스로인,드리블 (시도),드리블 (성공),드리블 (성공%),패스 (시도),패스 (성공),패스 (성공%),키패스,전방패스 (시도),전방패스 (성공),전방패스 (성공%),후방패스 (시도),후방패스 (성공),후방패스 (성공%),횡패스 (시도),횡패스 (성공),횡패스 (성공%),공격진영 패스 (시도),공격진영 패스 (성공),공격진영 패스 (성공%),수비진영 패스 (시도),수비진영 패스 (성공),수비진영 패스 (성공%),중앙진영 패스 (시도),중앙진영 패스 (성공),중앙진영 패스 (성공%),롱패스 (시도),롱패스 (성공),롱패스 (성공%),중거리패스 (시도),중거리패스 (성공),중거리패스 (성공%),단거리패스 (시도),단거리패스 (성공),단거리패스 (성공%),크로스 (시도),크로스 (성공),크로스 (성공%),탈압박,경합 지상 (시도),경합 지상 (성공),경합 지상 (성공%),경합 공중 (시도),경합 공중 (성공),경합 공중 (성공%),태클 (시도),태클 (성공),태클 (성공%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
7,2020,강원,36,24,325,110,98,117,170,155,18,5,40,7,278.3,23,158,504,83,26,31.3,15446,13011,84.2,202,5893,4296,72.9,3367,3249,96.5,6186,5466,88.4,3818,2805,73.5,3213,2652,82.5,8415,7554,89.8,1766,1020,57.8,5508,4827,87.6,8172,7164,87.7,566,99,17.5,14,723,345,47.7,935,450,48.1,149,61,40.9,398,350,946,1931,59,155,369,356,50,0
6,2020,광주,32,22,277,79,75,123,164,113,15,4,77,19,556,49,99,528,109,31,28.4,9545,6910,72.4,166,4726,2817,59.6,1768,1661,93.9,3051,2432,79.7,2406,1547,64.3,2517,1719,68.3,4622,3644,78.8,1896,964,50.8,3100,2331,75.2,4549,3615,79.5,517,106,20.5,16,761,388,51,1327,681,51.3,239,143,59.8,487,406,1204,2026,122,139,308,389,38,5
5,2020,대구,43,26,381,121,109,151,212,169,20,4,47,14,700,42,126,514,105,31,29.5,11761,9352,79.5,228,5378,3761,69.9,2054,1970,95.9,4329,3621,83.6,2927,2005,68.5,2663,2020,75.9,6171,5327,86.3,1756,1019,58,3631,2983,82.2,6374,5350,83.9,628,139,22.1,15,869,455,52.4,952,514,54,205,89,43.4,418,397,1125,2023,63,173,390,283,50,1
12,2020,부산,25,16,250,77,72,101,144,106,18,4,52,11,491.7,33,119,494,95,29,30.5,12061,9635,79.9,159,5125,3436,67,2338,2245,96,4598,3954,86,2491,1627,65.3,3334,2686,80.6,6236,5322,85.3,2090,1233,59,4013,3356,83.6,5958,5046,84.7,580,109,18.8,9,690,301,43.6,1055,490,46.4,209,105,50.2,464,336,1054,1916,102,135,364,393,53,0
4,2020,상주,34,18,333,115,90,128,159,174,24,6,41,5,273.3,36,118,544,108,25,23.1,13969,11487,82.2,172,5784,4017,69.5,3020,2904,96.2,5165,4566,88.4,2838,2024,71.3,3648,2892,79.3,7483,6571,87.8,1824,964,52.9,4605,3964,86.1,7540,6559,87,466,96,20.6,23,771,357,46.3,1097,536,48.9,186,89,47.8,408,417,1038,2081,65,201,359,374,36,0
9,2020,서울,23,13,267,88,74,105,126,141,10,2,60,16,647.6,31,118,481,120,29,24.2,13204,10718,81.2,167,5366,3669,68.4,2636,2513,95.3,5202,4536,87.2,3049,2177,71.4,3059,2375,77.6,7096,6166,86.9,1938,1114,57.5,4202,3536,84.2,7064,6068,85.9,512,110,21.5,16,769,393,51.1,1082,511,47.2,194,102,52.6,341,413,1043,1938,56,132,343,283,45,1
10,2020,성남,24,13,266,89,69,108,131,135,11,3,41,9,433.3,30,97,481,77,23,29.9,12988,10514,81,149,5425,3604,66.4,2903,2793,96.2,4660,4117,88.3,2309,1611,69.8,3749,2980,79.5,6930,5923,85.5,1909,1008,52.8,4176,3548,85,6903,5958,86.3,421,83,19.7,8,745,379,50.9,1047,527,50.3,181,89,49.2,494,402,1119,1973,91,148,323,381,30,3
8,2020,수원,27,15,309,101,89,119,137,172,23,7,48,9,483.3,39,109,569,77,20,26,13575,10904,80.3,185,5746,3878,67.5,2832,2717,95.9,4997,4309,86.2,2947,2043,69.3,3069,2345,76.4,7559,6516,86.2,1813,959,52.9,4133,3434,83.1,7629,6511,85.3,500,95,19,12,780,407,52.2,1098,539,49.1,260,137,52.7,397,431,1126,2097,65,154,387,315,43,1
2,2020,울산,54,32,341,131,88,122,215,126,12,6,35,15,925,47,162,469,100,27,27,14958,12611,84.3,230,5651,4126,73,3140,3015,96,6167,5470,88.7,3474,2511,72.3,3627,3067,84.6,7857,7033,89.5,1934,1181,61.1,5172,4480,86.6,7852,6950,88.5,672,158,23.5,9,798,397,49.7,923,501,54.3,179,103,57.5,405,360,891,1881,84,134,367,280,42,3
11,2020,인천,25,18,270,81,72,117,143,127,16,5,42,13,601.7,34,92,474,122,33,27,11659,9125,78.3,154,5159,3320,64.4,2407,2289,95.1,4093,3516,85.9,2105,1418,67.4,3257,2393,73.5,6297,5314,84.4,1929,938,48.6,3507,2884,82.2,6223,5303,85.2,433,96,22.2,17,832,422,50.7,1158,562,48.5,297,152,51.2,439,407,1046,2032,92,157,348,407,54,3
