순위,년도,구단,득점,도움,슈팅,유효 슈팅,블락된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,프리킥 슈팅,프리킥 유효슈팅,프리킥 크로스 (시도),프리킥 크로스 (성공),프리킥 크로스 (성공%),오프사이드,코너킥,스로인,드리블 (시도),드리블 (성공),드리블 (성공%),패스 (시도),패스 (성공),패스 (성공%),키패스,전방패스 (시도),전방패스 (성공),전방패스 (성공%),후방패스 (시도),후방패스 (성공),후방패스 (성공%),횡패스 (시도),횡패스 (성공),횡패스 (성공%),공격진영 패스 (시도),공격진영 패스 (성공),공격진영 패스 (성공%),수비진영 패스 (시도),수비진영 패스 (성공),수비진영 패스 (성공%),중앙진영 패스 (시도),중앙진영 패스 (성공),중앙진영 패스 (성공%),롱패스 (시도),롱패스 (성공),롱패스 (성공%),중거리패스 (시도),중거리패스 (성공),중거리패스 (성공%),단거리패스 (시도),단거리패스 (성공),단거리패스 (성공%),크로스 (시도),크로스 (성공),크로스 (성공%),탈압박,경합 지상 (시도),경합 지상 (성공),경합 지상 (성공%),경합 공중 (시도),경합 공중 (성공),경합 공중 (성공%),태클 (시도),태클 (성공),태클 (성공%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
11,2021,강원,40,21,414,132,109,173,231,183,16,6,50,15,700,64,155,788,163,49,22.2,19920,15885,79.7,244,8291,5404,65.2,4085,3936,96.4,7544,6545,86.8,3823,2600,68,5286,4047,76.6,10811,9238,85.4,2610,1246,47.7,7574,6392,84.4,9736,8247,84.7,713,133,18.7,62,2891,1466,50.7,1887,890,47.2,326,168,51.5,664,683,1531,3067,85,233,450,478,72,1
12,2021,광주,43,20,454,154,126,174,254,200,25,10,81,25,1083.3,47,141,786,183,72,26.2,15233,11198,73.5,240,7265,4284,59,2845,2690,94.6,5123,4224,82.5,3441,2198,63.9,4146,2871,69.2,7646,6129,80.2,3043,1492,49,5708,4607,80.7,6482,5099,78.7,771,174,22.6,63,2828,1407,49.8,2337,1116,47.8,340,166,48.8,757,652,1613,3108,120,259,487,523,69,0
3,2021,대구,41,28,471,153,104,214,260,211,24,7,76,28,1170,63,145,759,251,90,27.6,14941,11144,74.6,291,7410,4679,63.1,2461,2319,94.2,5070,4146,81.8,3362,2189,65.1,4138,2953,71.4,7441,6002,80.7,2730,1430,52.4,5089,4053,79.6,7122,5661,79.5,786,194,24.7,68,2988,1468,49.1,1972,1069,54.2,272,142,52.2,588,654,1568,3175,108,272,520,454,64,1
7,2021,서울,46,25,403,138,98,167,218,185,12,2,56,9,441.7,40,170,762,169,68,30,20302,16265,80.1,239,8551,5657,66.2,4294,4156,96.8,7455,6450,86.5,4543,3197,70.4,4929,3795,77,10830,9273,85.6,2829,1547,54.7,7901,6634,84,9570,8082,84.5,794,154,19.4,83,2820,1417,50.2,1968,949,48.2,316,182,57.6,525,643,1474,3146,94,217,462,438,56,3
10,2021,성남,34,19,373,125,82,166,196,177,21,8,53,13,966.7,71,136,792,167,54,27.1,17431,13387,76.8,242,7851,4862,61.9,3509,3359,95.7,6071,5166,85.1,3402,2203,64.8,4948,3764,76.1,9081,7420,81.7,2786,1390,49.9,6531,5363,82.1,8114,6634,81.8,662,140,21.1,58,2759,1336,48.4,2327,1141,49,325,166,51.1,612,626,1562,3193,106,243,510,454,77,1
6,2021,수원,42,25,398,120,115,163,232,166,25,6,66,18,851.7,40,133,673,206,75,31.2,18281,14486,79.2,236,7884,5105,64.8,3744,3594,96,6653,5787,87,3609,2503,69.4,4493,3281,73,10179,8702,85.5,2615,1359,52,6403,5340,83.4,9263,7787,84.1,631,145,23,73,2935,1504,51.2,2156,1045,48.5,331,196,59.2,602,659,1485,3047,113,204,518,545,71,1
5,2021,수원FC,53,40,491,167,111,213,257,234,21,9,58,17,861,36,142,637,142,49,28.9,19185,15391,80.2,307,8351,5631,67.4,3665,3516,95.9,7169,6244,87.1,3890,2742,70.5,4912,3807,77.5,10383,8842,85.2,2865,1549,54.1,6583,5570,84.6,9737,8272,85,754,182,24.1,69,2807,1413,50.3,2105,1102,52.4,285,161,56.5,594,640,1587,3185,96,247,468,471,68,1
2,2021,울산,64,36,520,189,134,197,298,222,18,6,62,8,358.3,62,168,654,226,104,20,22445,18941,84.4,291,8662,6240,72,4891,4721,96.5,8892,7980,89.7,4727,3468,73.4,5359,4440,82.9,12359,11033,89.3,2891,1776,61.4,8273,7226,87.3,11281,9939,88.1,812,159,19.6,99,2779,1407,50.6,1699,894,52.6,228,122,53.5,462,677,1363,2961,87,203,465,474,55,2
8,2021,인천,38,23,363,124,80,159,195,168,12,6,34,9,516.7,60,116,782,217,81,18.6,16609,12724,76.6,209,7754,4859,62.7,3146,2979,94.7,5709,4886,85.6,2949,1955,66.3,4632,3343,72.2,9028,7426,82.3,2520,1204,47.8,5334,4270,80.1,8755,7250,82.8,581,123,21.2,76,3029,1572,51.9,2222,1167,52.5,389,184,47.3,716,716,1666,2990,122,247,509,489,63,3
1,2021,전북,71,45,431,178,82,171,288,143,22,10,68,23,1050,52,180,843,233,87,17.2,20786,16768,80.7,275,8941,6167,69,4021,3852,95.8,7824,6749,86.3,4827,3304,68.4,4915,3964,80.7,11044,9500,86,2596,1456,56.1,7330,6101,83.2,10860,9211,84.8,952,196,20.6,97,3024,1519,50.2,2099,1077,51.3,293,140,47.8,490,652,1454,3182,99,230,505,483,58,0
