순위 ▾,구단,경기,승점,승,무,패,득점,실점,득실,최근 5경기
1,울산,38,76,22,10,6,57,33,24,패 승 무 승 승
2,전북,38,73,21,10,7,56,36,20,승 승 승 패 승
3,포항,38,60,16,12,10,52,41,11,승 무 무 패 패
4,인천,38,54,13,15,10,46,42,4,패 무 승 무 패
5,제주,38,52,14,10,14,52,50,2,승 패 패 승 패
6,강원,38,49,14,7,17,50,52,-2,패 패 패 무 승
7,수원FC,38,48,13,9,16,56,63,-7,패 패 승 패 무
8,대구,38,46,10,16,12,52,59,-7,무 무 승 승 승
9,서울,38,46,11,13,14,43,47,-4,승 패 무 무 패
10,수원,38,44,11,11,16,44,49,-5,승 승 패 무 승
11,김천,38,38,8,14,16,45,48,-3,패 무 무 무 무
12,성남,38,30,7,9,22,37,70,-33,무 승 패 무 패
