순위 ▾,구단,경기,승점,승,무,패,득점,실점,득실,최근 5경기
1,전북,27,60,19,3,5,46,21,25,승 승 승 패 승
2,울산,27,57,17,6,4,54,23,31,승 패 패 승 무
3,포항,27,50,15,5,7,56,35,21,승 패 승 승 승
4,상주,27,44,13,5,9,34,36,-2,패 승 승 패 패
5,대구,27,38,10,8,9,43,39,4,패 승 패 승 무
6,광주,27,25,6,7,14,32,46,-14,패 패 패 패 패
7,강원,27,34,9,7,11,36,41,-5,패 무 승 승 승
8,수원,27,31,8,7,12,27,30,-3,승 패 무 승 승
9,서울,27,29,8,5,14,23,44,-21,패 무 승 패 패
10,성남,27,28,7,7,13,24,37,-13,승 승 패 패 패
11,인천,27,27,7,6,14,25,35,-10,승 승 패 패 승
12,부산,27,25,5,10,12,25,38,-13,패 패 무 승 패
