순위 ▾,구단,경기,승점,승,무,패,득점,실점,득실,최근 5경기
1,대전,11,23,7,2,2,18,11,7,승 승 무 패 승
2,전북,10,18,5,3,2,15,10,5,승 승 무 승 승
3,김천,10,17,5,2,3,14,10,4,승 패 패 승 승
4,울산,12,17,5,2,5,11,10,1,패 승 패 승 무
5,광주,10,16,4,4,2,12,10,2,승 패 승 승 무
6,안양,11,15,5,0,6,13,13,0,승 패 승 패 승
7,포항,10,15,4,3,3,11,13,-2,승 패 승 무 승
8,서울,10,13,3,4,3,9,10,-1,패 패 무 무 승
9,강원,10,13,4,1,5,7,9,-2,패 승 승 패 패
10,제주,10,11,3,2,5,10,12,-2,패 승 무 패 승
11,대구,10,7,2,1,7,10,16,-6,패 패 패 패 패
12,수원FC,10,7,1,4,5,8,14,-6,패 패 승 무 패
