순위,년도,구단,득점,도움,슈팅,유효 슈팅,블락된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,프리킥 슈팅,프리킥 유효슈팅,프리킥 크로스 (시도),프리킥 크로스 (성공),프리킥 크로스 (성공%),오프사이드,코너킥,스로인,드리블 (시도),드리블 (성공),드리블 (성공%),패스 (시도),패스 (성공),패스 (성공%),키패스,전방패스 (시도),전방패스 (성공),전방패스 (성공%),후방패스 (시도),후방패스 (성공),후방패스 (성공%),횡패스 (시도),횡패스 (성공),횡패스 (성공%),공격진영 패스 (시도),공격진영 패스 (성공),공격진영 패스 (성공%),수비진영 패스 (시도),수비진영 패스 (성공),수비진영 패스 (성공%),중앙진영 패스 (시도),중앙진영 패스 (성공),중앙진영 패스 (성공%),롱패스 (시도),롱패스 (성공),롱패스 (성공%),중거리패스 (시도),중거리패스 (성공),중거리패스 (성공%),단거리패스 (시도),단거리패스 (성공),단거리패스 (성공%),크로스 (시도),크로스 (성공),크로스 (성공%),탈압박,경합 지상 (시도),경합 지상 (성공),경합 지상 (성공%),경합 공중 (시도),경합 공중 (성공),경합 공중 (성공%),태클 (시도),태클 (성공),태클 (성공%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
2,2024,강원,62,41,434,167,86,181,258,176,20,5,33,4,250,39,164,682,134,40,29.9,18209,15778,86.6,254,7053,5113,72.5,4435,4311,97.2,6721,6354,94.5,2780,2307,83,5611,4690,83.6,9818,8781,89.4,1972,1086,55.1,7088,6480,91.4,9149,8212,89.8,649,133,20.5,0,535,275,51.4,1110,568,51.2,861,282,32.8,920,414,665,2537,656,240,433,389,67,0
9,2024,광주,42,24,432,145,84,203,251,181,18,4,53,12,608.3,58,180,635,167,41,24.6,19263,17079,88.7,233,7293,5659,77.6,4654,4505,96.8,7316,6915,94.5,3458,2905,84,4910,4244,86.4,10895,9930,91.1,1822,1218,66.8,7810,7221,92.5,9631,8640,89.7,787,174,22.1,0,501,259,51.7,1104,564,51.1,774,250,32.3,898,381,583,2689,644,281,421,451,61,2
3,2024,김천,55,31,506,172,105,229,287,219,8,3,41,10,691.7,47,177,769,142,50,35.2,18046,15270,84.6,307,7656,5528,72.2,3902,3755,96.2,6488,5987,92.3,3923,3203,81.6,4649,3759,80.9,9474,8308,87.7,1937,1152,59.5,6304,5572,88.4,9805,8546,87.2,824,173,21,0,625,295,47.2,1255,564,44.9,981,271,27.6,931,457,784,2950,676,271,390,358,58,1
11,2024,대구,45,24,467,158,92,217,262,205,19,3,57,13,633.3,41,153,733,165,47,28.5,15871,13192,83.1,244,7104,4925,69.3,3378,3252,96.3,5389,5015,93.1,2688,2234,83.1,4959,3889,78.4,8224,7069,86,2128,1194,56.1,5317,4664,87.7,8426,7334,87,795,175,22,0,662,352,53.2,1282,658,51.3,1031,326,31.6,988,422,713,2925,680,209,370,367,62,1
8,2024,대전,43,27,342,129,70,143,195,147,14,8,50,12,566.7,47,125,746,122,41,33.6,16791,13923,82.9,189,6964,4634,66.5,3819,3687,96.5,6008,5602,93.2,2843,2321,81.6,5328,4144,77.8,8620,7458,86.5,2199,1121,51,6055,5388,89,8537,7414,86.8,637,122,19.2,0,612,305,49.8,1499,719,48,972,277,28.5,1025,435,750,2778,695,267,431,363,73,2
4,2024,서울,55,44,413,166,77,170,267,146,4,2,60,12,431.7,51,170,739,119,41,34.5,19546,16917,86.5,260,7659,5563,72.6,4307,4169,96.8,7580,7185,94.8,3478,2874,82.6,5253,4375,83.3,10815,9668,89.4,1970,1166,59.2,7424,6712,90.4,10152,9039,89,788,177,22.5,0,646,312,48.3,1217,607,49.9,956,297,31.1,959,373,642,2739,610,242,385,381,77,1
5,2024,수원FC,54,39,493,168,107,218,254,239,22,8,38,8,533.3,50,154,719,133,41,30.8,18812,16228,86.3,271,7752,5688,73.4,4300,4139,96.3,6760,6401,94.7,3668,3099,84.5,4781,3867,80.9,10363,9262,89.4,2226,1331,59.8,6845,6202,90.6,9741,8695,89.3,746,154,20.6,0,511,238,46.6,1135,568,50,869,267,30.7,967,424,696,2734,647,237,372,354,54,1
1,2024,울산,62,40,450,192,83,175,290,160,9,3,43,12,758.3,74,180,684,132,43,32.6,20991,18352,87.4,289,8044,5963,74.1,4897,4756,97.1,8050,7633,94.8,4178,3528,84.4,5745,4975,86.6,11068,9849,89,1972,1170,59.3,7565,6863,90.7,11454,10319,90.1,845,175,20.7,0,607,305,50.2,1140,553,48.5,890,281,31.6,848,435,710,2801,634,219,368,375,61,1
12,2024,인천,38,23,425,138,67,220,243,182,16,6,39,10,683.3,41,181,773,121,41,33.9,18694,15888,85,240,7452,5225,70.1,4188,4038,96.4,7054,6625,93.9,3188,2649,83.1,5040,4096,81.3,10466,9143,87.4,1933,994,51.4,6203,5540,89.3,10558,9354,88.6,805,164,20.4,0,594,294,49.5,1300,675,51.9,794,271,34.1,985,389,710,2947,637,260,411,353,51,3
10,2024,전북,49,35,414,123,83,208,262,152,12,2,39,16,965,59,165,692,108,31,28.7,18589,15940,85.7,245,7468,5332,71.4,4082,3953,96.8,7039,6655,94.5,3367,2794,83,5171,4292,83,10051,8854,88.1,2089,1166,55.8,6651,5970,89.8,9849,8804,89.4,787,185,23.5,0,567,298,52.6,1256,631,50.2,964,282,29.3,951,405,694,2741,604,253,388,339,67,5
7,2024,제주,38,17,475,164,84,227,256,219,17,6,54,12,600,47,185,800,161,45,28.0,16946,14113,83.3,267,7468,5174,69.3,3520,3417,97.1,5958,5522,92.7,3145,2503,79.6,4697,3795,80.8,9104,7815,85.8,1982,1098,55.4,5818,5014,86.2,9146,8001,87.5,735,176,23.9,0,638,313,49.1,1454,741,51,1027,321,31.3,1085,452,759,2950,761,264,387,397,63,3
6,2024,포항,53,31,428,154,74,200,257,171,12,3,47,10,633.3,50,174,688,125,35,28.0,19928,17446,87.5,253,7912,5907,74.7,4666,4545,97.4,7350,6994,95.2,3119,2625,84.2,5969,5145,86.2,10840,9676,89.3,2166,1284,59.3,7183,6563,91.4,10579,9599,90.7,796,151,19,0,588,297,50.5,1152,604,52.4,893,298,33.4,783,418,654,2641,625,241,344,365,56,3
