순위 ▾,구단,경기,승점,승,무,패,득점,실점,득실,최근 5경기
1,전북,38,76,22,10,6,71,37,34,승 승 패 승 승
2,울산,38,74,21,11,6,64,41,23,승 무 승 패 승
3,대구,38,55,15,10,13,41,48,-7,패 패 승 승 패
4,제주,38,54,13,15,10,52,44,8,패 승 패 승 승
5,수원FC,38,51,14,9,15,53,57,-4,승 패 승 패 패
6,수원,38,46,12,10,16,42,50,-8,패 무 패 패 패
7,서울,38,47,12,11,15,46,46,0,승 무 승 승 패
8,인천,38,47,12,11,15,38,45,-7,무 무 무 무 승
9,포항,38,46,12,10,16,41,45,-4,패 무 패 승 패
10,성남,38,44,11,11,16,34,46,-12,패 승 패 무 승
11,강원,38,43,10,13,15,40,51,-11,승 무 무 패 무
12,광주,38,37,10,7,21,42,54,-12,무 패 승 패 무
