순위,년도,구단,득점,도움,슈팅,유효 슈팅,블락된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,프리킥 슈팅,프리킥 유효슈팅,프리킥 크로스 (시도),프리킥 크로스 (성공),프리킥 크로스 (성공%),오프사이드,코너킥,스로인,드리블 (시도),드리블 (성공),드리블 (성공%),패스 (시도),패스 (성공),패스 (성공%),키패스,전방패스 (시도),전방패스 (성공),전방패스 (성공%),후방패스 (시도),후방패스 (성공),후방패스 (성공%),횡패스 (시도),횡패스 (성공),횡패스 (성공%),공격진영 패스 (시도),공격진영 패스 (성공),공격진영 패스 (성공%),수비진영 패스 (시도),수비진영 패스 (성공),수비진영 패스 (성공%),중앙진영 패스 (시도),중앙진영 패스 (성공),중앙진영 패스 (성공%),롱패스 (시도),롱패스 (성공),롱패스 (성공%),중거리패스 (시도),중거리패스 (성공),중거리패스 (성공%),단거리패스 (시도),단거리패스 (성공),단거리패스 (성공%),크로스 (시도),크로스 (성공),크로스 (성공%),탈압박,경합 지상 (시도),경합 지상 (성공),경합 지상 (성공%),경합 공중 (시도),경합 공중 (성공),경합 공중 (성공%),태클 (시도),태클 (성공),태클 (성공%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
9,2025,강원,7,5,75,27,15,33,55,20,1,0,13,4,183.3,10,34,205,36,8,22.2,4222,3424,81.1,43,1818,1159,63.8,994,958,96.4,1410,1307,92.7,611,498,81.5,1544,1204,78,2067,1722,83.3,534,257,48.1,1444,1240,85.9,2244,1927,85.9,166,43,25.9,0,212,101,47.6,409,210,51.3,277,88,31.8,318,113,210,798,192,54,119,116,20,1
5,2025,광주,12,6,79,35,16,28,50,29,2,0,11,5,350,11,39,169,40,9,26.2,4785,4088,85.4,43,1926,1364,70.8,1110,1074,96.8,1749,1650,94.3,841,695,82.6,1353,1103,81.5,2591,2290,88.4,518,291,56.2,1804,1612,89.4,2463,2185,88.7,160,32,20,0,154,74,48.1,314,158,50.3,268,88,32.8,272,79,184,778,170,52,110,125,27,0
3,2025,김천,14,9,134,52,24,58,83,51,2,0,19,6,216.7,18,46,194,24,5,27.6,4382,3591,81.9,73,2023,1377,68.1,975,936,96,1384,1278,92.3,822,665,80.9,1196,924,77.3,2364,2002,84.7,503,257,51.1,1380,1184,85.8,2499,2150,86,230,45,19.6,0,213,103,48.4,400,198,49.5,293,102,34.8,269,129,231,833,182,54,121,81,9,1
11,2025,대구,10,5,136,43,27,66,70,66,3,1,14,6,366.7,12,54,216,30,9,30,4901,4125,84.2,88,2108,1510,71.6,1004,966,96.2,1789,1649,92.2,1028,855,83.2,1209,972,80.4,2664,2298,86.3,535,305,57,1570,1365,86.9,2796,2455,87.8,259,55,21.2,0,223,113,50.7,353,192,54.4,248,76,30.6,224,121,249,861,193,60,101,111,16,0
1,2025,대전,18,12,101,41,24,36,64,37,0,0,16,1,33.3,14,36,224,48,13,27.1,5233,4324,82.6,52,2171,1432,66,1182,1134,95.9,1880,1758,93.5,942,754,80,1515,1165,76.9,2776,2405,86.6,654,360,55,1867,1635,87.6,2712,2329,85.9,220,34,15.5,0,235,117,49.8,448,226,50.4,363,102,28.1,334,99,252,977,220,58,119,106,17,0
8,2025,서울,9,7,152,44,32,76,82,70,3,1,19,4,136.7,20,53,201,32,10,31.2,4747,4011,84.5,83,1965,1394,70.9,1029,989,96.1,1753,1628,92.9,875,715,81.7,1415,1209,85.4,2457,2087,84.9,479,252,52.6,1656,1468,88.6,2612,2291,87.7,230,51,22.2,0,198,104,52.5,367,183,49.9,244,99,40.6,238,100,218,819,147,64,91,107,14,0
12,2025,수원FC,8,5,103,31,18,54,55,48,4,1,10,1,50,20,34,183,45,13,28.9,4372,3593,82.2,50,1950,1314,67.4,889,854,96.1,1533,1425,93,675,558,82.7,1410,1104,78.3,2287,1931,84.4,604,322,53.3,1608,1414,87.9,2160,1857,86,189,30,15.9,0,212,93,43.9,348,164,47.1,273,82,30,293,116,208,798,196,73,101,107,13,0
6,2025,안양,13,5,120,40,29,51,65,55,7,0,12,2,200,18,40,210,30,6,20,4381,3525,80.5,59,2023,1336,66,947,907,95.8,1411,1282,90.9,847,681,80.4,1286,974,75.7,2248,1870,83.2,593,308,51.9,1393,1165,83.6,2395,2052,85.7,219,42,19.2,0,191,101,52.9,474,221,46.6,250,81,32.4,335,113,234,917,213,73,123,91,24,1
4,2025,울산,11,9,177,39,46,92,113,64,4,1,21,5,216.7,23,68,239,37,8,18.6,6313,5373,85.1,95,2716,1981,72.9,1373,1326,96.6,2224,2066,92.9,1547,1279,82.7,1599,1339,83.7,3167,2755,87,588,331,56.3,2078,1816,87.4,3647,3226,88.5,325,65,20,0,253,125,49.4,528,269,50.9,328,87,26.5,334,123,255,1141,238,61,142,146,20,0
2,2025,전북,15,10,104,38,25,41,69,35,3,0,12,5,333.3,12,51,201,29,5,17.2,4266,3527,82.7,62,1823,1230,67.5,922,883,95.8,1521,1414,93,870,705,81,1201,946,78.8,2195,1876,85.5,527,287,54.5,1492,1296,86.9,2247,1944,86.5,251,62,24.7,0,218,109,50,388,195,50.3,244,85,34.8,266,100,225,804,172,54,133,114,19,1
