순위 ▾,구단,경기,승점,승,무,패,득점,실점,득실,최근 5경기
1,울산,38,76,23,7,8,63,42,21,승 패 승 승 패
2,포항,38,64,16,16,6,53,40,13,무 승 패 무 무
3,광주,38,59,16,11,11,47,35,12,무 패 무 패 승
4,전북,38,57,16,9,13,45,35,10,패 승 무 무 승
5,인천,38,56,14,14,10,46,42,4,패 승 무 승 무
6,대구,38,53,13,14,11,42,43,-1,승 패 무 패 패
7,서울,38,55,14,13,11,63,49,14,무 패 무 승 승
8,대전,38,51,12,15,11,56,58,-2,무 승 패 무 무
9,제주,38,41,10,11,17,43,49,-6,무 패 무 무 승
10,강원,38,34,6,16,16,30,41,-11,무 승 승 무 패
11,수원FC,38,33,8,9,21,44,76,-32,무 패 패 패 무
12,수원,38,33,8,9,21,35,57,-22,무 승 승 무 패
